City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.92,114.08,-6.3,98,100,0.07,RU,1581196318
1,cape town,-33.93,18.42,69.01,93,75,13.87,ZA,1581196130
2,oporapa,2.05,-75.98,71.33,79,84,2.55,CO,1581196318
3,rikitea,-23.12,-134.97,78.12,78,95,19.1,PF,1581196318
4,tommot,58.96,126.29,2.48,97,100,1.97,RU,1581196318
5,peniche,39.36,-9.38,55.0,87,75,5.82,PT,1581196318
6,northam,51.03,-4.22,51.01,76,100,11.01,GB,1581196318
7,praia da vitoria,38.73,-27.07,64.4,77,40,18.12,PT,1581196318
8,bethel,41.37,-73.41,41.0,55,90,12.75,US,1581196318
9,pevek,69.7,170.31,-27.35,100,100,3.06,RU,1581196134
10,airai,-8.93,125.41,67.66,90,100,2.75,TL,1581196318
11,albany,42.6,-73.97,28.0,72,90,10.29,US,1581196151
12,san cristobal,7.77,-72.22,87.8,48,20,16.11,VE,1581196318
13,barabinsk,55.36,78.36,34.41,99,100,14.16,RU,1581196319
14,najran,17.49,44.13,77.0,29,5,6.13,SA,1581196319
15,progreso,21.28,-89.67,89.6,46,75,9.17,MX,1581196319
16,pakhtakoron,40.16,68.75,45.82,24,0,7.87,TJ,1581196319
17,leningradskiy,69.38,178.42,-19.48,91,100,24.02,RU,1581196319
18,saint george,37.1,-113.58,62.6,32,1,1.66,US,1581196319
19,mandera,3.94,41.87,85.05,27,90,8.7,KE,1581196319
20,vaini,-21.2,-175.2,84.2,79,20,9.17,TO,1581196319
21,east london,-33.02,27.91,72.34,75,100,0.51,ZA,1581196202
22,hilo,19.73,-155.09,75.99,50,1,4.7,US,1581196044
23,mataura,-46.19,168.86,53.01,92,100,11.01,NZ,1581196319
24,torbay,47.67,-52.73,28.0,68,40,31.09,CA,1581196313
25,hobart,-42.88,147.33,59.0,62,75,3.36,AU,1581196267
26,sakaiminato,35.55,133.23,37.4,51,75,11.41,JP,1581196319
27,longyearbyen,78.22,15.64,21.2,79,75,6.93,SJ,1581196320
28,acapulco,16.86,-99.89,84.2,62,20,10.29,MX,1581196145
29,butaritari,3.07,172.79,83.84,79,100,19.93,KI,1581196320
30,ramshir,30.89,49.41,60.8,72,100,11.41,IR,1581196320
31,atuona,-9.8,-139.03,81.19,71,0,18.3,PF,1581196036
32,saint-augustin,51.23,-58.65,6.57,84,100,13.53,CA,1581196320
33,chokurdakh,70.63,147.92,-34.85,93,24,3.56,RU,1581196320
34,castro,-24.79,-50.01,71.46,96,3,3.83,BR,1581196320
35,fortuna,40.6,-124.16,53.6,53,1,27.51,US,1581196320
36,ribeira grande,38.52,-28.7,62.6,93,75,16.11,PT,1581196320
37,vila franca do campo,37.72,-25.43,62.6,93,75,17.22,PT,1581196320
38,hatta,24.12,79.6,50.95,51,0,5.32,IN,1581196320
39,norfolk,42.17,-71.25,37.4,40,75,11.41,US,1581196320
40,san quintin,30.48,-115.95,61.81,73,25,11.74,MX,1581196320
41,ulaanbaatar,47.91,106.88,-5.8,76,0,2.24,MN,1581196165
42,asau,46.43,26.4,30.0,68,97,6.93,RO,1581196320
43,upernavik,72.79,-56.15,-19.28,94,100,8.28,GL,1581196320
44,cidreira,-30.18,-50.21,78.12,87,0,21.41,BR,1581196320
45,thinadhoo,0.53,72.93,82.33,75,97,11.56,MV,1581196321
46,zhanaozen,43.3,52.8,33.13,91,100,22.26,KZ,1581196321
47,port lincoln,-34.73,135.87,69.19,77,0,4.03,AU,1581196321
48,jamestown,42.1,-79.24,28.99,79,90,4.7,US,1581196321
49,ankang,32.68,109.02,39.2,65,17,3.29,CN,1581196321
50,ushuaia,-54.8,-68.3,66.2,29,0,10.29,AR,1581196303
51,portland,45.52,-122.68,48.99,75,90,10.29,US,1581196087
52,mbeya,-8.9,33.45,57.85,95,42,5.28,TZ,1581196321
53,cochrane,51.18,-114.47,28.0,85,90,6.93,CA,1581196321
54,lapeer,43.05,-83.32,28.4,58,90,4.7,US,1581196321
55,saint-philippe,-21.36,55.77,75.2,83,52,15.99,RE,1581196321
56,atar,20.52,-13.05,71.33,13,0,9.8,MR,1581196321
57,wajir,1.75,40.06,83.14,50,55,16.87,KE,1581196321
58,isangel,-19.55,169.27,80.6,88,90,14.99,VU,1581196321
59,khatanga,71.97,102.5,-10.64,97,100,1.83,RU,1581196321
60,mersing,2.43,103.84,80.2,83,100,18.48,MY,1581196321
61,opuwo,-18.06,13.84,70.25,51,10,6.58,NA,1581196322
62,doha,25.29,51.53,73.0,68,0,10.29,QA,1581196091
63,luderitz,-26.65,15.16,66.2,88,15,10.29,NA,1581196322
64,vardo,70.37,31.11,38.32,85,99,17.34,NO,1581196322
65,tiarei,-17.53,-149.33,89.6,59,75,4.7,PF,1581196322
66,taunsa,30.7,70.65,53.15,34,0,1.07,PK,1581196322
67,port alfred,-33.59,26.89,66.99,96,40,1.01,ZA,1581196322
68,labuhan,-6.88,112.21,74.52,89,78,7.43,ID,1581196322
69,provideniya,64.38,-173.3,-21.89,90,1,12.1,RU,1581196322
70,bredasdorp,-34.53,20.04,69.8,88,100,4.7,ZA,1581196322
71,henties bay,-22.12,14.28,64.99,86,0,5.01,NA,1581196029
72,bollnas,61.35,16.39,34.0,86,98,11.7,SE,1581196323
73,hermanus,-34.42,19.23,68.0,90,0,1.01,ZA,1581196323
74,new norfolk,-42.78,147.06,59.0,62,75,3.36,AU,1581196088
75,faya,18.39,42.45,60.8,87,42,6.33,SA,1581196323
76,sao filipe,14.9,-24.5,72.45,60,100,24.09,CV,1581196065
77,atbasar,51.8,68.33,29.03,94,100,10.22,KZ,1581196323
78,kalmunai,7.42,81.82,79.65,67,91,10.38,LK,1581196323
79,kruisfontein,-34.0,24.73,66.76,82,0,8.43,ZA,1581196323
80,bluff,-46.6,168.33,53.01,92,100,11.01,NZ,1581196323
81,dikson,73.51,80.55,-9.17,93,99,15.17,RU,1581196323
82,punta arenas,-53.15,-70.92,66.2,45,0,9.17,CL,1581196323
83,klaksvik,62.23,-6.59,37.4,86,100,11.41,FO,1581196324
84,waddan,29.16,16.14,53.42,46,0,4.09,LY,1581196324
85,komsomolskiy,40.43,71.72,37.4,69,23,6.93,UZ,1581196324
86,arraial do cabo,-22.97,-42.03,84.2,74,0,17.22,BR,1581196324
87,avarua,-21.21,-159.78,82.4,74,100,16.98,CK,1581196324
88,celestun,20.87,-90.4,75.43,88,100,25.28,MX,1581196324
89,morros,-9.45,-46.3,72.64,89,100,6.69,BR,1581196265
90,norman wells,65.28,-126.83,-4.0,70,40,10.29,CA,1581196324
91,elixir,15.48,-86.3,87.8,58,20,14.99,HN,1581196324
92,lasa,46.62,10.7,33.8,69,87,2.28,IT,1581196324
93,asmara,15.33,38.93,62.4,93,94,2.93,ER,1581196324
94,alice springs,-23.7,133.88,71.6,40,75,2.24,AU,1581196288
95,kapaa,22.08,-159.32,73.4,60,40,11.41,US,1581196230
96,lompoc,34.64,-120.46,66.99,62,1,8.05,US,1581196100
97,kybartai,54.64,22.76,31.62,67,0,7.99,LT,1581196325
98,kamenka,51.32,42.77,3.99,88,0,6.87,RU,1581196325
99,sao gabriel da cachoeira,-0.13,-67.09,89.6,54,75,2.15,BR,1581196172
100,busselton,-33.65,115.33,51.01,64,0,8.01,AU,1581196325
101,menomonie,44.88,-91.92,23.0,57,1,4.7,US,1581196273
102,veraval,20.9,70.37,64.99,28,0,15.52,IN,1581196325
103,adrar,20.5,-10.07,70.61,10,35,10.54,MR,1581196325
104,cayenne,4.93,-52.33,82.4,69,40,11.41,GF,1581196182
105,caborca,30.58,-111.1,77.0,14,6,3.0,MX,1581196205
106,hualmay,-11.1,-77.61,78.01,59,33,9.26,PE,1581196325
107,avera,33.19,-82.53,50.0,93,90,3.36,US,1581196325
108,talnakh,69.49,88.4,-13.0,83,20,11.18,RU,1581196325
109,abu kamal,34.45,40.92,41.99,46,12,17.36,SY,1581196325
110,jand,33.43,72.02,49.37,35,0,2.84,PK,1581196325
111,victor harbor,-35.57,138.62,77.0,56,0,10.29,AU,1581196326
112,altagracia de orituco,9.86,-66.38,77.27,48,0,5.84,VE,1581196326
113,miraflores,19.22,-98.81,80.6,6,75,4.7,MX,1581196326
114,gat,31.61,34.76,53.6,62,75,18.34,IL,1581196326
115,marovoay,-16.1,46.63,78.8,88,20,2.24,MG,1581196326
116,ancud,-41.87,-73.82,71.6,37,0,9.17,CL,1581196326
117,ahuimanu,21.44,-157.84,75.0,93,90,8.05,US,1581196326
118,tuktoyaktuk,69.45,-133.04,-32.8,66,75,3.36,CA,1581196326
119,qaanaaq,77.48,-69.36,-23.24,66,0,4.34,GL,1581196326
120,vallenar,-28.57,-70.76,71.91,54,0,11.39,CL,1581196219
121,acajutla,13.59,-89.83,91.4,36,20,2.24,SV,1581196326
122,hithadhoo,-0.6,73.08,82.22,78,100,11.61,MV,1581196326
123,wahiawa,21.5,-158.02,75.0,93,90,8.05,US,1581196326
124,carnarvon,-24.87,113.63,75.2,88,33,21.92,AU,1581196263
125,los llanos de aridane,28.66,-17.92,66.2,72,20,14.99,ES,1581196326
